ID,long,lat,proptype,propstatus,stories,MIN_NO,MIN_RFSWY,MIN_RFTILE,MIN_FOUND,MIN_WINDDO,MIN_WNDPAN,MIN_UNFINW,MIN_MISSID,MIN_INSUL,MIN_ROT,MIN_RAILS,MIN_PORCH,MIN_PORJUNK,MIN_CHIMN,MIN_PAINT,MIN_GUTTER,MAJ_NO,MAJ_RFSWY,MAJ_RFTILE,MAJ_FOUND,MAJ_WINDDO,MAJ_SIDING,MAJ_ROT,MAJ_PORCH,MAJ_CHIMN,YARD_SATIS,YARD_MOW,YARD_OVRGR,YARD_VHINOP,YARD_VHPARK,YARD_GRCOV,YARD_MAJCL,GeneralCon,Pic1,MIN_TOTAL,MAJ_TOTAL,MnMj_total,Classify,other_tot,Landlord
sample_0815,-83.39281308,33.95474205,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Good,http://classic.ona.io/api/v1/files/2343987?filename=communitymapuga/attachments/1473704600937.jpg,0,0,0,Standard,0,0
sample_0816,-83.38444941,33.95393731,Single family (garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fair,http://classic.ona.io/api/v1/files/2343988?filename=communitymapuga/attachments/1473704661294.jpg,0,0,0,Standard,2,0
sample_0817,-83.3942929,33.9544977,Single family (no garage),OCCUP,one,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fair,http://classic.ona.io/api/v1/files/2343989?filename=communitymapuga/attachments/1473704723853.jpg,0,0,0,Standard,2,0
sample_0818,-83.39777659,33.95451005,Single family (no garage),Vacant1,one,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2744231?filename=communitymapuga/attachments/1477061034170.jpg,3,5,8,Dilapidated,0,1
sample_0819,-83.39739068,33.95415768,Single family (no garage),OCCUP,one,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2744232?filename=communitymapuga/attachments/1477061164407.jpg,5,1,6,Substandard,0,1
sample_0820,-83.39338208,33.95395035,Single family (no garage),OCCUP,two,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2744236?filename=communitymapuga/attachments/1477061310871.jpg,5,1,6,Dilapidated,1,0
sample_0821,-83.39311013,33.95405302,Single family (no garage),Vacant1,one,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Poor,http://classic.ona.io/api/v1/files/2744242?filename=communitymapuga/attachments/1477061509091.jpg,4,2,6,Dilapidated,0,1
sample_0822,-83.38770802,33.95431154,Single family (no garage),OCCUP,one,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Poor,http://classic.ona.io/api/v1/files/2744255?filename=communitymapuga/attachments/1477062932632.jpg,3,0,3,Standard,1,0
sample_0823,-83.39366597,33.954493,Single family (no garage),OCCUP,one,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Fair,http://classic.ona.io/api/v1/files/2744258?filename=communitymapuga/attachments/1477063072499.jpg,2,0,2,Substandard,0,1
sample_0824,-83.39573424,33.95367839,Single family (no garage),OCCUP,one,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Poor,http://classic.ona.io/api/v1/files/2744259?filename=communitymapuga/attachments/1477063242765.jpg,2,0,2,Substandard,1,0
